n,pair,cond_no_acoustic,cond_acoustic,class,is_negative_destination,precision_no_ac,precision_ac,delta_precision,recall_no_ac,recall_ac,delta_recall,f1_no_ac,f1_ac,delta_f1,support,low_support_flag,trigger_happy_flag
5,customer_only,A,B,환불요청,True,0.7972367438386856,0.7962291515591008,-0.0010075922795848014,0.4429460580912863,0.45560165975103734,0.012655601659751048,0.5694851960522807,0.5795724465558195,0.01008725050353887,4820,False,True
5,customer_only,A,B,주문취소,True,0.1739915713425647,0.17636252296387017,0.0023709516213054616,0.5711462450592886,0.5691699604743083,-0.0019762845849802257,0.2667281956622058,0.26928471248246844,0.0025565168202626443,506,False,False
5,customer_only,A,B,불만제기,True,0.0821256038647343,0.0694980694980695,-0.012627534366664805,0.0407673860911271,0.04316546762589928,0.0023980815347721812,0.05448717948717949,0.05325443786982249,-0.0012327416173570013,417,False,True
5,customer_only,A,B,배송확인,False,0.4311868686868687,0.4451058201058201,0.013918951418951442,0.7197049525816649,0.7091675447839831,-0.010537407797681753,0.5392814844058429,0.5469321414059325,0.0076506570000896,949,False,False
5,customer_only,A,B,교환반품,False,0.601312551271534,0.58700882117081,-0.014303730100724055,0.5544629349470499,0.5537065052950075,-0.0007564296520423675,0.5769382133018497,0.5698715453483846,-0.007066667953465111,1322,False,False
5,customer_only,A,B,구매진행,False,0.3110195674562307,0.33663366336633666,0.02561409591010594,0.5500910746812386,0.5573770491803278,0.007285974499089187,0.3973684210526316,0.41975308641975306,0.02238466536712147,549,False,False
5,customer_only,A,B,서비스이용,False,0.3609865470852018,0.3783582089552239,0.017371661870022093,0.4410958904109589,0.46301369863013697,0.021917808219178048,0.3970406905055487,0.4164271047227926,0.019386414217243908,1095,False,False
5,all,C,D,환불요청,True,0.8323814962878355,0.8291654959258219,-0.003216000362013638,0.6047717842323651,0.612240663900415,0.007468879668049877,0.7005527517423696,0.7043799976130803,0.003827245870710705,4820,False,True
5,all,C,D,주문취소,True,0.22788605697151423,0.2311212814645309,0.003235224493016664,0.6007905138339921,0.5988142292490118,-0.0019762845849802257,0.33043478260869563,0.33351678591084205,0.003082003302146419,506,False,False
5,all,C,D,불만제기,True,0.1111111111111111,0.11363636363636363,0.0025252525252525276,0.03836930455635491,0.03597122302158273,-0.0023980815347721812,0.0570409982174688,0.0546448087431694,-0.0023961894742994053,417,False,False
5,all,C,D,배송확인,False,0.5087131367292225,0.5122282608695652,0.003515124140342718,0.7997892518440464,0.7945205479452054,-0.005268703898840932,0.6218762802130274,0.6228831061544816,0.0010068259414541814,949,False,False
5,all,C,D,교환반품,False,0.6477675407512402,0.6451841359773371,-0.002583404773903064,0.6913767019667171,0.68910741301059,-0.0022692889561271024,0.6688620563483352,0.6664228237015362,-0.0024392326467990166,1322,False,False
5,all,C,D,구매진행,False,0.40828402366863903,0.41656365883807167,0.008279635169432642,0.6284153005464481,0.6138433515482696,-0.014571948998178486,0.4949784791965567,0.4963181148748159,0.0013396356782592322,549,False,False
5,all,C,D,서비스이용,False,0.5505376344086022,0.564901349948079,0.014363715539476796,0.46757990867579907,0.4968036529680365,0.029223744292237452,0.505679012345679,0.5286686103012633,0.022989597955584307,1095,False,False
