n,condition,class,precision,recall,f1,support,n_total,accuracy,macro_f1,delta_precision_vs_no_acoustic,delta_recall_vs_no_acoustic,delta_f1_vs_no_acoustic
3,A,환불요청,0.7646321070234113,0.37946058091286305,0.507210205213533,4820,9658,0.4214123006833713,0.35541434716586895,,,
3,A,주문취소,0.14958283671036948,0.49604743083003955,0.22985347985347984,506,9658,0.4214123006833713,0.35541434716586895,,,
3,A,불만제기,0.08712121212121213,0.05515587529976019,0.06754772393538913,417,9658,0.4214123006833713,0.35541434716586895,,,
3,A,배송확인,0.37753807106598986,0.6269757639620653,0.47128712871287126,949,9658,0.4214123006833713,0.35541434716586895,,,
3,A,교환반품,0.577028258887876,0.47881996974281393,0.5233567589913187,1322,9658,0.4214123006833713,0.35541434716586895,,,
3,A,구매진행,0.25990783410138246,0.5136612021857924,0.34516523867809057,549,9658,0.4214123006833713,0.35541434716586895,,,
3,A,서비스이용,0.29182630906768836,0.41735159817351597,0.34347989477639984,1095,9658,0.4214123006833713,0.35541434716586895,,,
3,B,환불요청,0.7851140456182473,0.4070539419087137,0.5361388167782484,4820,9658,0.43383723338165253,0.3612543392199787,0.020481938594835936,0.027593360995850635,0.02892861156471538
3,B,주문취소,0.1646586345381526,0.4051383399209486,0.23415191319246145,506,9658,0.43383723338165253,0.3612543392199787,0.015075797827783122,-0.09090909090909094,0.004298433338981611
3,B,불만제기,0.11042944785276074,0.08633093525179857,0.09690444145356662,417,9658,0.43383723338165253,0.3612543392199787,0.02330823573154861,0.031175059952038377,0.02935671751817749
3,B,배송확인,0.4224683544303797,0.5626975763962065,0.482602801626751,949,9658,0.43383723338165253,0.3612543392199787,0.04493028336438987,-0.06427818756585879,0.011315672913879748
3,B,교환반품,0.6114058355437666,0.348714069591528,0.4441233140655106,1322,9658,0.43383723338165253,0.3612543392199787,0.034377576655890585,-0.13010590015128592,-0.07923344492580814
3,B,구매진행,0.2506938020351526,0.4936247723132969,0.3325153374233129,549,9658,0.43383723338165253,0.3612543392199787,-0.009214032066229838,-0.020036429872495487,-0.012649901254777662
3,B,서비스이용,0.28967456809963843,0.6584474885844749,0.40234375,1095,9658,0.43383723338165253,0.3612543392199787,-0.002151740968049931,0.2410958904109589,0.05886385522360016
3,C,환불요청,0.7687861271676301,0.44149377593360994,0.5608856088560885,4820,9658,0.4614827086353282,0.3763373741031244,,,
3,C,주문취소,0.16427640156453716,0.4980237154150198,0.24705882352941178,506,9658,0.4614827086353282,0.3763373741031244,,,
3,C,불만제기,0.05511811023622047,0.03357314148681055,0.041728763040238454,417,9658,0.4614827086353282,0.3763373741031244,,,
3,C,배송확인,0.4060846560846561,0.6469968387776607,0.4989841527834214,949,9658,0.4614827086353282,0.3763373741031244,,,
3,C,교환반품,0.6139613120269134,0.5521936459909228,0.5814416567104739,1322,9658,0.4614827086353282,0.3763373741031244,,,
3,C,구매진행,0.25722543352601157,0.48633879781420764,0.33648393194706994,549,9658,0.4614827086353282,0.3763373741031244,,,
3,C,서비스이용,0.33162142333088773,0.41278538812785387,0.3677786818551668,1095,9658,0.4614827086353282,0.3763373741031244,,,
3,D,환불요청,0.7892190739460954,0.4738589211618257,0.5921700803733472,4820,9658,0.47390764133360946,0.38179756566544487,0.0204329467784653,0.032365145228215764,0.03128447151725866
3,D,주문취소,0.1813380281690141,0.40711462450592883,0.25091352009744217,506,9658,0.47390764133360946,0.38179756566544487,0.017061626604476937,-0.09090909090909094,0.0038546965680303913
3,D,불만제기,0.08163265306122448,0.047961630695443645,0.06042296072507553,417,9658,0.47390764133360946,0.38179756566544487,0.02651454282500401,0.014388489208633094,0.01869419768483708
3,D,배송확인,0.43829468960359014,0.6174920969441517,0.5126859142607174,949,9658,0.47390764133360946,0.38179756566544487,0.032210033518934034,-0.02950474183350893,0.013701761477296015
3,D,교환반품,0.6629766297662977,0.40771558245083206,0.5049180327868853,1322,9658,0.47390764133360946,0.38179756566544487,0.04901531773938428,-0.14447806354009074,-0.07652362392358858
3,D,구매진행,0.26340996168582376,0.5009107468123861,0.34526051475204017,549,9658,0.47390764133360946,0.38179756566544487,0.006184528159812186,0.014571948998178486,0.008776582804970234
3,D,서비스이용,0.30470534490634993,0.6091324200913242,0.4062119366626066,1095,9658,0.47390764133360946,0.38179756566544487,-0.026916078424537804,0.1963470319634703,0.038433254807439754
5,A,환불요청,0.7972367438386856,0.4429460580912863,0.5694851960522807,4820,9658,0.4806378132118451,0.40018991149536276,,,
5,A,주문취소,0.1739915713425647,0.5711462450592886,0.2667281956622058,506,9658,0.4806378132118451,0.40018991149536276,,,
5,A,불만제기,0.0821256038647343,0.0407673860911271,0.05448717948717949,417,9658,0.4806378132118451,0.40018991149536276,,,
