table,n,condition,pair,class,metric,before,after,delta_before_to_after,trigger_happy_status
neg_destination_acoustic_delta,2,,all,주문취소,delta_recall(acoustic),0.009881422924901184,-0.007905138339920958,-0.017786561264822143,없음(유지)
neg_destination_acoustic_delta,2,,all,주문취소,delta_precision(acoustic),0.0040866568193008435,-0.0031404818237669996,-0.007227138643067843,없음(유지)
neg_destination_acoustic_delta,2,,all,불만제기,delta_recall(acoustic),0.016786570743405275,0.014388489208633094,-0.0023980815347721812,없음(유지)
neg_destination_acoustic_delta,2,,all,불만제기,delta_precision(acoustic),0.0032298828228557244,0.004737340772712914,0.0015074579498571897,없음(유지)
neg_destination_acoustic_delta,3,,customer_only,환불요청,delta_recall(acoustic),0.027800829875518684,0.032365145228215764,0.004564315352697079,유지
neg_destination_acoustic_delta,3,,customer_only,환불요청,delta_precision(acoustic),-0.007593927308795045,-0.01245325139627984,-0.004859324087484795,유지
neg_destination_acoustic_delta,3,,customer_only,주문취소,delta_recall(acoustic),0.0039525691699604515,-0.015810276679841917,-0.01976284584980237,없음(유지)
neg_destination_acoustic_delta,3,,customer_only,주문취소,delta_precision(acoustic),0.008147836606338749,0.004604980548513771,-0.003542856057824978,없음(유지)
neg_destination_acoustic_delta,3,,customer_only,불만제기,delta_recall(acoustic),0.007194244604316551,0.004796163069544369,-0.0023980815347721812,유지
neg_destination_acoustic_delta,3,,customer_only,불만제기,delta_precision(acoustic),-0.011097820308346634,-0.014866876861096515,-0.0037690565527498804,유지
neg_destination_acoustic_delta,3,,all,환불요청,delta_recall(acoustic),0.02676348547717844,0.027178423236514537,0.0004149377593360981,새로 발생
neg_destination_acoustic_delta,3,,all,환불요청,delta_precision(acoustic),0.0015210400678647984,-0.002243880815407495,-0.0037649208832722936,새로 발생
neg_destination_acoustic_delta,3,,all,주문취소,delta_recall(acoustic),-0.007905138339920958,-0.005928853754940733,0.0019762845849802257,없음(유지)
neg_destination_acoustic_delta,3,,all,주문취소,delta_precision(acoustic),0.0055866121340929775,0.007447736366497315,0.0018611242324043376,없음(유지)
neg_destination_acoustic_delta,3,,all,불만제기,delta_recall(acoustic),0.019184652278177457,0.0023980815347721812,-0.016786570743405275,새로 발생
neg_destination_acoustic_delta,3,,all,불만제기,delta_precision(acoustic),0.016079300767015775,-0.002114576667315876,-0.01819387743433165,새로 발생
neg_destination_acoustic_delta,5,,customer_only,환불요청,delta_recall(acoustic),0.012655601659751048,0.013692946058091293,0.0010373443983402453,해소됨
neg_destination_acoustic_delta,5,,customer_only,환불요청,delta_precision(acoustic),-0.0010075922795848014,0.00109477592917806,0.0021023682087628615,해소됨
neg_destination_acoustic_delta,5,,customer_only,주문취소,delta_recall(acoustic),-0.0019762845849802257,-0.007905138339921014,-0.005928853754940788,없음(유지)
neg_destination_acoustic_delta,5,,customer_only,주문취소,delta_precision(acoustic),0.0023709516213054616,0.002369814796049141,-1.1368252563204173e-06,없음(유지)
neg_destination_acoustic_delta,5,,customer_only,불만제기,delta_recall(acoustic),0.0023980815347721812,0.0047961630695443624,0.0023980815347721812,유지
neg_destination_acoustic_delta,5,,customer_only,불만제기,delta_precision(acoustic),-0.012627534366664805,-0.009882257857129748,0.002745276509535058,유지
