n,condition,class,precision,recall,f1,support,low_support_flag,n_total,accuracy,macro_f1,weighted_f1,n_out_of_taxonomy_pred
2,C,주문취소,0.1292466765140325,0.3458498023715415,0.1881720430107527,506,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,불만제기,0.0387409200968523,0.03836930455635491,0.03855421686746988,417,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,배송확인,0.28969539857420606,0.47102212855637515,0.35874799357945425,949,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,교환반품,0.5672853828306265,0.3698940998487141,0.4478021978021978,1322,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,구매진행,0.14648117839607203,0.32604735883424407,0.20214568040654998,549,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,서비스이용,0.18590635141400091,0.36621004566210047,0.24661746617466174,1095,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,D,환불요청,0.7018934390136504,0.33070539419087136,0.449583979692568,4820,False,9658,0.3428246013667426,0.28298472304515043,0.3756053173816805,0
2,D,주문취소,0.13333333333333333,0.3557312252964427,0.1939655172413793,506,False,9658,0.3428246013667426,0.28298472304515043,0.3756053173816805,0
2,D,불만제기,0.041970802919708027,0.05515587529976019,0.04766839378238342,417,False,9658,0.3428246013667426,0.28298472304515043,0.3756053173816805,0
2,D,배송확인,0.3084507042253521,0.46153846153846156,0.36977627691008863,949,False,9658,0.3428246013667426,0.28298472304515043,0.3756053173816805,0
2,D,교환반품,0.5693012600229095,0.37594553706505296,0.45284738041002276,1322,False,9658,0.3428246013667426,0.28298472304515043,0.3756053173816805,0
2,D,구매진행,0.16586306653809066,0.3132969034608379,0.21689785624211855,549,False,9658,0.3428246013667426,0.28298472304515043,0.3756053173816805,0
2,D,서비스이용,0.1885132005558129,0.37168949771689497,0.2501536570374923,1095,False,9658,0.3428246013667426,0.28298472304515043,0.3756053173816805,0
