n,condition,class,precision,recall,f1,support,low_support_flag,n_total,accuracy,macro_f1,weighted_f1,n_out_of_taxonomy_pred
3,D,서비스이용,0.3446940356312936,0.4063926940639269,0.3730092204526404,1095,False,9658,0.47804928556636983,0.38746577266601123,0.4989644714983411,0
5,A,환불요청,0.7972367438386856,0.4429460580912863,0.5694851960522807,4820,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,주문취소,0.1739915713425647,0.5711462450592886,0.2667281956622058,506,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,불만제기,0.0821256038647343,0.0407673860911271,0.05448717948717949,417,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,배송확인,0.4311868686868687,0.7197049525816649,0.5392814844058429,949,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,교환반품,0.601312551271534,0.5544629349470499,0.5769382133018497,1322,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,구매진행,0.3110195674562307,0.5500910746812386,0.3973684210526316,549,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,서비스이용,0.3609865470852018,0.4410958904109589,0.3970406905055487,1095,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,B,환불요청,0.7983315197678637,0.4566390041493776,0.5809687211297347,4820,False,9658,0.48954234831228,0.4076326818280716,0.5092490700245064,0
5,B,주문취소,0.17636138613861385,0.5632411067193676,0.26861451460885954,506,False,9658,0.48954234831228,0.4076326818280716,0.5092490700245064,0
5,B,불만제기,0.07224334600760456,0.045563549160671464,0.05588235294117647,417,False,9658,0.48954234831228,0.4076326818280716,0.5092490700245064,0
5,B,배송확인,0.4434270765206017,0.7144362486828241,0.5472154963680388,949,False,9658,0.48954234831228,0.4076326818280716,0.5092490700245064,0
5,B,교환반품,0.5845674201091192,0.56732223903177,0.5758157389635317,1322,False,9658,0.48954234831228,0.4076326818280716,0.5092490700245064,0
5,B,구매진행,0.33076074972436603,0.546448087431694,0.41208791208791207,549,False,9658,0.48954234831228,0.4076326818280716,0.5092490700245064,0
5,B,서비스이용,0.37989255564082886,0.4520547945205479,0.41284403669724773,1095,False,9658,0.48954234831228,0.4076326818280716,0.5092490700245064,0
5,C,환불요청,0.8323814962878355,0.6047717842323651,0.7005527517423696,4820,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,주문취소,0.22788605697151423,0.6007905138339921,0.33043478260869563,506,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,불만제기,0.1111111111111111,0.03836930455635491,0.0570409982174688,417,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,배송확인,0.5087131367292225,0.7997892518440464,0.6218762802130274,949,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,교환반품,0.6477675407512402,0.6913767019667171,0.6688620563483352,1322,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,구매진행,0.40828402366863903,0.6284153005464481,0.4949784791965567,549,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,서비스이용,0.5505376344086022,0.46757990867579907,0.505679012345679,1095,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,D,환불요청,0.8287883047511948,0.6116182572614108,0.7038319207353467,4820,False,9658,0.5990888382687927,0.48443141552553765,0.6096830013625831,1
5,D,주문취소,0.22929447852760737,0.5909090909090909,0.33038674033149174,506,False,9658,0.5990888382687927,0.48443141552553765,0.6096830013625831,1
5,D,불만제기,0.14084507042253522,0.047961630695443645,0.07155635062611806,417,False,9658,0.5990888382687927,0.48443141552553765,0.6096830013625831,1
5,D,배송확인,0.5053835800807537,0.7913593256059009,0.6168377823408624,949,False,9658,0.5990888382687927,0.48443141552553765,0.6096830013625831,1
5,D,교환반품,0.6458923512747875,0.6898638426626323,0.6671543525969276,1322,False,9658,0.5990888382687927,0.48443141552553765,0.6096830013625831,1
5,D,구매진행,0.4026442307692308,0.6102003642987249,0.4851556842867487,549,False,9658,0.5990888382687927,0.48443141552553765,0.6096830013625831,1
5,D,서비스이용,0.5638528138528138,0.4757990867579909,0.516097077761268,1095,False,9658,0.5990888382687927,0.48443141552553765,0.6096830013625831,1
