section,n,condition,pair,metric,v_base,v3_orig,delta,class
음향델타_불만제기,2,,all,acoustic_delta_recall,0.014388489208633094,0.014388489208633094,0.0,불만제기
음향델타_불만제기,2,,all,acoustic_delta_precision,0.004737340772712914,0.035583404227472026,0.030846063454759112,불만제기
음향델타_불만제기,2,,all,acoustic_delta_f1,0.009116422352465112,0.023156863076429134,0.014040440723964022,불만제기
음향델타_기타클래스,2,,all,acoustic_delta_recall,-0.011591148577449972,-0.038988408851422574,-0.0273972602739726,배송확인
음향델타_기타클래스,2,,all,acoustic_delta_precision,0.017130780173154947,0.04445293068414763,0.027322150510992682,배송확인
음향델타_기타클래스,2,,all,acoustic_delta_f1,0.009184495872022524,0.01809024171466339,0.008905745842640866,배송확인
음향델타_기타클래스,2,,all,acoustic_delta_recall,0.001512859304084735,-0.08018154311649017,-0.08169440242057491,교환반품
음향델타_기타클래스,2,,all,acoustic_delta_precision,-0.008696076801047448,0.06787216277468033,0.07656823957572778,교환반품
음향델타_기타클래스,2,,all,acoustic_delta_f1,-0.0016413618185540102,-0.04988011988011992,-0.04823875806156591,교환반품
음향델타_기타클래스,2,,all,acoustic_delta_recall,-0.007285974499089243,0.02367941712204008,0.030965391621129323,구매진행
음향델타_기타클래스,2,,all,acoustic_delta_precision,0.018925248825099994,0.018467275212175394,-0.00045797361292460037,구매진행
음향델타_기타클래스,2,,all,acoustic_delta_f1,0.015651457116785422,0.022022445688020947,0.006370988571235525,구매진행
음향델타_기타클래스,2,,all,acoustic_delta_recall,0.0018264840182648512,0.1863013698630137,0.18447488584474886,서비스이용
음향델타_기타클래스,2,,all,acoustic_delta_precision,0.0007541395540398566,0.007631716404297217,0.006877576850257361,서비스이용
음향델타_기타클래스,2,,all,acoustic_delta_f1,0.0010776782629535187,0.04004446227831149,0.03896678401535797,서비스이용
음향델타_기타클래스,3,,customer_only,acoustic_delta_recall,0.032365145228215764,0.027593360995850635,-0.004771784232365128,환불요청
음향델타_기타클래스,3,,customer_only,acoustic_delta_precision,-0.01245325139627984,0.020481938594835936,0.032935189991115776,환불요청
음향델타_기타클래스,3,,customer_only,acoustic_delta_f1,0.02503272279290214,0.02892861156471538,0.0038958887718132384,환불요청
음향델타_기타클래스,3,,customer_only,acoustic_delta_recall,-0.015810276679841917,-0.09090909090909094,-0.07509881422924902,주문취소
음향델타_기타클래스,3,,customer_only,acoustic_delta_precision,0.004604980548513771,0.015075797827783122,0.010470817279269351,주문취소
음향델타_기타클래스,3,,customer_only,acoustic_delta_f1,0.0035759149592002604,0.004298433338981611,0.0007225183797813506,주문취소
음향델타_불만제기,3,,customer_only,acoustic_delta_recall,0.004796163069544369,0.031175059952038377,0.026378896882494007,불만제기
음향델타_불만제기,3,,customer_only,acoustic_delta_precision,-0.014866876861096515,0.02330823573154861,0.038175112592645125,불만제기
음향델타_불만제기,3,,customer_only,acoustic_delta_f1,-0.0020169244596355274,0.02935671751817749,0.03137364197781302,불만제기
음향델타_기타클래스,3,,customer_only,acoustic_delta_recall,-0.004214963119072657,-0.06427818756585879,-0.060063224446786134,배송확인
음향델타_기타클래스,3,,customer_only,acoustic_delta_precision,0.01153368666936233,0.04493028336438987,0.033396596695027536,배송확인
